2017-03-30 15:08:42,097 | [10] | DefaultLogger | ERROR - Number: E000000 | Message: The parameters dictionary contains a null entry for parameter 'chartType' of non-nullable type 'System.Int32' for method 'System.Web.Mvc.ActionResult ChartData(Int32)' in 'G2.ML.Web.Controllers.DashboardController'. An optional parameter must be a reference type, a nullable type, or be declared as an optional parameter.
Parameter name: parameters Trace:    at System.Web.Mvc.ActionDescriptor.ExtractParameterFromDictionary(ParameterInfo parameterInfo, IDictionary`2 parameters, MethodInfo methodInfo)
   at System.Web.Mvc.ReflectedActionDescriptor.Execute(ControllerContext controllerContext, IDictionary`2 parameters)
   at System.Web.Mvc.ControllerActionInvoker.InvokeActionMethod(ControllerContext controllerContext, ActionDescriptor actionDescriptor, IDictionary`2 parameters)
   at System.Web.Mvc.Async.AsyncControllerActionInvoker.<BeginInvokeSynchronousActionMethod>b__39(IAsyncResult asyncResult, ActionInvocation innerInvokeState)
   at System.Web.Mvc.Async.AsyncResultWrapper.WrappedAsyncResult`2.CallEndDelegate(IAsyncResult asyncResult)
   at System.Web.Mvc.Async.AsyncResultWrapper.WrappedAsyncResultBase`1.End()
   at System.Web.Mvc.Async.AsyncControllerActionInvoker.EndInvokeActionMethod(IAsyncResult asyncResult)
   at System.Web.Mvc.Async.AsyncControllerActionInvoker.AsyncInvocationWithFilters.<InvokeActionMethodFilterAsynchronouslyRecursive>b__3d()
   at System.Web.Mvc.Async.AsyncControllerActionInvoker.AsyncInvocationWithFilters.<>c__DisplayClass46.<InvokeActionMethodFilterAsynchronouslyRecursive>b__3f()
   at System.Web.Mvc.Async.AsyncControllerActionInvoker.<>c__DisplayClass33.<BeginInvokeActionMethodWithFilters>b__32(IAsyncResult asyncResult)
   at System.Web.Mvc.Async.AsyncResultWrapper.WrappedAsyncResult`1.CallEndDelegate(IAsyncResult asyncResult)
   at System.Web.Mvc.Async.AsyncResultWrapper.WrappedAsyncResultBase`1.End()
   at System.Web.Mvc.Async.AsyncControllerActionInvoker.EndInvokeActionMethodWithFilters(IAsyncResult asyncResult)
   at System.Web.Mvc.Async.AsyncControllerActionInvoker.<>c__DisplayClass21.<>c__DisplayClass2b.<BeginInvokeAction>b__1c()
   at System.Web.Mvc.Async.AsyncControllerActionInvoker.<>c__DisplayClass21.<BeginInvokeAction>b__1e(IAsyncResult asyncResult)
2017-03-30 15:13:03,224 | [1] | DefaultLogger | DEBUG - EncryptionKey key has been set...
2017-03-30 15:13:03,255 | [1] | DefaultLogger | DEBUG - Error handler attribute has been set...
2017-03-30 15:13:03,256 | [1] | DefaultLogger | DEBUG - AutoMapper settings started...
2017-03-30 15:13:03,642 | [1] | DefaultLogger | DEBUG - AutoMapper settings initialized...
2017-03-30 15:13:03,654 | [1] | DefaultLogger | DEBUG - AutoMapper settings validated...
2017-03-30 15:15:05,476 | [8] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-03-30 15:15:05,479 | [8] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-03-30 15:15:05,621 | [8] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-03-30 15:15:05,629 | [8] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-03-30 15:15:05,631 | [8] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-03-30 15:15:05,633 | [8] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Account_VerifyLoginCreds' object created...
2017-03-30 15:15:05,635 | [8] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-03-30 15:15:05,638 | [8] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-03-30 15:15:05,639 | [8] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 2
2017-03-30 15:15:05,642 | [8] | DefaultLogger | INFO  - Parameter: Name: @UserName, Direction: In, DataType: String, Value: JCI, Size: -1
2017-03-30 15:15:05,643 | [8] | DefaultLogger | INFO  - Parameter: Name: @Password, Direction: In, DataType: String, Value: 123456, Size: -1
2017-03-30 15:15:05,643 | [8] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-03-30 15:15:05,672 | [8] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-03-30 15:15:05,675 | [8] | DefaultLogger | DEBUG - Connection closed...
2017-03-30 15:29:49,650 | [1] | DefaultLogger | DEBUG - EncryptionKey key has been set...
2017-03-30 15:29:49,664 | [1] | DefaultLogger | DEBUG - Error handler attribute has been set...
2017-03-30 15:29:49,665 | [1] | DefaultLogger | DEBUG - AutoMapper settings started...
2017-03-30 15:29:50,041 | [1] | DefaultLogger | DEBUG - AutoMapper settings initialized...
2017-03-30 15:29:50,051 | [1] | DefaultLogger | DEBUG - AutoMapper settings validated...
